method,c1_ls,c2_ls,success_rate,avg_iterations,avg_f_eval,avg_g_eval,avg_cpu_sec
NewtonW,0.0005,0.3,1.0,8.333333333333334,17.5,18.5,0.006285399999796937
NewtonW,0.0005,0.4,1.0,8.0,16.333333333333332,17.333333333333332,0.006322358333363809
NewtonW,0.0005,0.5,1.0,7.916666666666667,15.083333333333334,16.083333333333332,0.0063170666665731305
NewtonW,0.0005,0.6,1.0,8.833333333333334,16.833333333333332,17.833333333333332,0.006121883333131943
NewtonW,0.0005,0.7,1.0,9.75,18.666666666666668,19.666666666666668,0.006467474999832727
NewtonW,0.0005,0.8,1.0,9.916666666666666,19.25,20.25,0.0062963749999956535
NewtonW,0.0005,0.9,1.0,9.583333333333334,17.5,18.5,0.006556058333141361
NewtonW,0.0005,0.99,1.0,11.0,18.333333333333332,19.333333333333332,0.006486866666667386
NewtonW,0.001,0.1,1.0,6.916666666666667,20.083333333333332,21.083333333333332,0.0065752666669141036
NewtonW,0.001,0.2,1.0,7.25,18.916666666666668,19.916666666666668,0.006627233333801996
NewtonW,0.001,0.3,1.0,8.333333333333334,17.5,18.5,0.0064431250001083145
NewtonW,0.001,0.4,1.0,8.0,16.333333333333332,17.333333333333332,0.006269649999921967
NewtonW,0.001,0.5,1.0,7.916666666666667,15.083333333333334,16.083333333333332,0.006179549999918284
NewtonW,0.001,0.6,1.0,8.833333333333334,16.833333333333332,17.833333333333332,0.006326816666993788
